Part,Price EUR,Price,type,date
DSK Bank Fee,61.36,120.00,Buying,1/2/2024
Comission + Shipping(1050$),812.44,1589.00,Buying,1/3/2024
Comission Valio Part(260EUR=350CAD),260.76,510.00,Buying,1/4/2024
DSK Bank Fee,30.68,60.00,Buying,1/5/2024
Upper cowl,120.15,235.00,Repair,1/6/2024
right clip-on,63.91,125.00,Repair,1/7/2024
tail light,173.84,340.00,Repair,1/8/2024
rear seat and plastics,132.94,260.00,Repair,1/9/2024
mirrors,132.94,260.00,Repair,1/10/2024
toll,30.68,60.00,Buying,1/11/2024
unloading,255.65,500.00,Buying,1/12/2024
front tank panel,66.47,130.00,Repair,1/13/2024
right lower plastic,143.16,280.00,Repair,1/14/2024
plugs mirrors,12.78,25.00,Repair,1/15/2024
radiator mask,56.24,110.00,Repair,1/16/2024
steering damper bracket,178.95,350.00,Repair,1/17/2024
holder,71.58,140.00,Repair,1/18/2024
OverDrive order 1,194.29,380.00,Repair,1/19/2024
num plate holder,46.02,90.00,Tunning,1/20/2024
steering damper bracket,102.26,200.00,Repair,1/21/2024
tool wheels nut,15.34,30.00,Service,1/22/2024
diag cable,10.23,20.00,Service,1/23/2024
windscreen,102.26,200.00,Repair,1/24/2024
China plastics,209.63,410.00,Repair,1/25/2024
sport air filter,66.47,130.00,Repair,1/26/2024
oil filter + engine oil,40.90,80.00,Service,1/27/2024
pro grips,35.79,70.00,Repair,1/28/2024
guards,61.36,120.00,Tunning,1/29/2024
front fairing,97.15,190.00,Repair,1/30/2024
Ducati Order 2,332.34,650.00,Repair,1/31/2024
taxes,583.90,1142.00,Buying,2/1/2024
wings + wheel crash bars,255.65,500.00,Tunning,2/2/2024
carbon heels,35.79,70.00,Tunning,2/3/2024
coolant and brake fluid,33.75,66.00,Service,2/4/2024
steering damper,112.48,220.00,Repair,2/5/2024
clutch cover,117.60,230.00,Repair,2/6/2024
rear seat cover,97.15,190.00,Tunning,2/7/2024
Evotech bar ends,117.60,230.00,Tunning,2/8/2024
fluid socks,17.90,35.00,Tunning,2/9/2024
nuts,46.02,90.00,Repair,2/10/2024
techno test,210.14,411.00,Buying,2/11/2024
KAT,81.81,160.00,Buying,2/12/2024
frame guards,97.15,190.00,Tunning,2/13/2024
gas upgrade,17.90,35.00,Tunning,2/14/2024
rear hooks,35.79,70.00,Tunning,2/15/2024
bike cover,76.69,150.00,Tunning,2/16/2024
ducabike footpegs,102.26,200.00,Tunning,2/17/2024
evotech levers,138.05,270.00,Tunning,2/18/2024
dbk oil cap and spring retainer,71.58,140.00,Tunning,2/19/2024
R&G foot protectors,40.90,80.00,Tunning,2/20/2024
shipping stand,18.41,36.00,Tunning,2/21/2024
damper holder Meloti,-112.48,-220.00,Tunning,2/22/2024
left lower plastic,51.13,100.00,Repair,2/23/2024
clear clutch cover,86.92,170.00,Tunning,2/24/2024
clutch bearing,20.45,40.00,Service,2/25/2024
Pirelli wheels,420.79,823.00,Service,2/26/2024
front brake pads,93.57,183.00,Service,2/27/2024
rear brake pads,37.32,73.00,Service,2/28/2024
clutch pump repair set,45.50,89.00,Service,2/29/2024
engine oil and filter,43.46,85.00,Service,3/1/2024
rear brake disc,120.15,235.00,Service,3/2/2024
drive chain set,127.82,250.00,Service,3/3/2024
carbon frame guards and front stand,58.80,115.00,Tunning,3/4/2024
mirror caps,66.47,130.00,Tunning,3/5/2024
spray paint,12.78,25.00,Repair,3/6/2024
wheel repair,53.69,105.00,Service,3/7/2024
rear disc bolts,30.68,60.00,Service,3/8/2024
button consoles,158.50,310.00,Repair,3/9/2024
taillight track,46.02,90.00,Tunning,3/10/2024
fork seals,76.69,150.00,Service,3/11/2024
exup emulator,38.35,75.00,Tunning,3/12/2024
arrow exhaust,1121.77,2194.00,Tunning,3/13/2024
arrow UK taxes,265.87,520.00,Tunning,3/14/2024
brake pads,30.68,60.00,Service,3/15/2024


make a supabase insert query from this csv
